Index	PROVINCE_N	DISTRICT_N	Polling_D	DSD_N	Local_Gov	Ward	Type_Ward	GND_N	GND_NO	Votes	TOT_POP	E_Sinhales	E_SLTamil	E_IndTamil	E_SLMoor	E_Burgher	E_Malay	E_SLChetty	E_Bharatha	E_Other	E_AllTamil	E_AllOther
1	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Arafa		Addalachchenai 01	AD/33	772	1108	13	0	2	1108	0	0	0	0	0	2	0
2	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al- Muneera		Addalachchenai 02	AD/31	837	1142	1	0	1	1134	3	0	0	0	0	1	3
3	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Jumma Mosque		Addalachchenai 03	AD/30A	668	921	1	0	1	925	0	0	0	0	0	1	0
4	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Ikrah		Addalachchenai 04	AD/30	1118	1620	0	5	1	1611	0	0	0	0	0	6	0
5	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Puraththoottam		Addalachchenai 05	AD/30B	685	764	2	0	3	785	0	0	0	0	0	3	0
6	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al- Muneera		Addalachchenai 06	AD/30C	1402	1941	3	0	6	1938	1	0	0	0	1	6	2
7	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Jumma Mosque		Addalachchenai 07	AD/30C/1	838	1199	1	0	1	1203	0	0	0	0	0	1	0
8	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Arafa		Addalachchenai 08	AD/30C/2	1429	2166	3	0	3	2123	1	0	0	0	0	3	1
9	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Puraththoottam		Addalachchenai 09	AD/33A	947	1235	0	1	1	1279	0	0	0	0	0	2	0
10	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Arafa		Addalachchenai 10	AD/33B	992	1456	0	0	2	1457	0	0	0	0	0	2	0
11	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al- Muneera		Addalachchenai 11	AD/31A	756	1007	3	0	1	1008	0	0	0	0	0	1	0
12	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Jumma Mosque		Addalachchenai 12	AD/30A/1	603	828	4	0	5	824	0	0	0	0	0	5	0
13	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Ikrah		Addalachchenai 13	AD/30D	962	1339	2	0	6	1350	0	0	0	0	0	6	0
14	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Ikrah		Addalachchenai 14	AD/30E	766	1567	0	96	84	1388	0	0	0	0	0	180	0
15	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Thaikka Nagar		Addalachchenai 15	AD/30B/1	1255	1730	3	1	2	1725	0	0	0	0	0	3	0
16	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Thaikka Nagar		Addalachchenai 16	AD/30B/2	959	1403	0	0	0	1405	0	0	0	0	0	0	0
17	Eastern	Ampara	Samantura	Addalachchenai	Addalachchenai PS	Puraththoottam		Addalachchenai 17	AD/30B/3	676	969	0	11	2	965	0	0	0	0	0	13	0
18	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Deeghawapiya		Deegawapie 01	AD/35A	900	1227	1229	0	0	0	0	0	0	0	0	0	0
19	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Deeghawapiya		Deegawapie 02	AD/35D	657	837	839	1	0	0	0	0	0	0	0	1	0
20	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al - Hamra		Oluvil 01	AD/35	830	2441	320	102	18	1822	0	1	0	0	0	120	1
21	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al - Hamra		Oluvil 02	AD/35B	1371	1948	12	9	3	1929	0	0	0	0	0	12	0
22	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al - Hamra		Oluvil 03	AD/35C	294	430	1	0	0	430	0	0	0	0	0	0	0
23	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al -Azhar		Oluvil 04	AD/35E	937	1434	1	6	0	1426	0	0	0	0	1	6	1
24	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al -Azhar		Oluvil 05	AD/35C/1	527	768	0	0	0	771	0	0	0	0	0	0	0
25	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al -Azhar		Oluvil 06	AD/35C/2	799	1148	0	0	2	1148	1	0	0	0	0	2	1
26	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al -Azhar		Oluvil 07	AD/35C/3	799	1351	1	0	1	1271	0	0	0	0	0	1	0
27	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al - Hidaya		Palamuna 01	AD/34	1490	2010	4	12	1	1996	0	0	0	0	0	13	0
28	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Minhaj		Palamuna 02	AD/34A	885	1415	1	0	2	1339	0	0	0	0	0	2	0
29	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al - Hidaya		Palamuna 03	AD/34B	883	1148	0	0	0	1140	1	0	0	0	0	0	1
30	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Minhaj		Palamuna 04	AD/34A/1	1225	1672	1	0	0	1677	0	0	0	0	0	0	0
31	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Minhaj		Palamuna 05	AD/34A/2	1077	1523	6	5	0	1513	0	0	0	0	0	5	0
32	Eastern	Ampara	Potuvil	Addalachchenai	Addalachchenai PS	Al - Hidaya		Palamuna 06	AD/34B/1	314	418	1	359	4	56	0	0	0	0	0	363	0
33	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Akkaraipattu East		Akkaraipattu 01	AP/15	786	1130	2	0	2	1138	0	0	0	0	0	2	0
34	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Town Mosque		Akkaraipattu 02	AP/16	919	1203	0	1	0	1205	0	0	0	0	0	1	0
35	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Town Mosque		Akkaraipattu 03	AP/17	565	770	7	0	0	775	0	0	0	0	0	0	0
36	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	New Mosque		Akkaraipattu 04	AP/18	833	1213	2	0	0	1217	0	0	0	0	0	0	0
37	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	New Mosque		Akkaraipattu 05	AP/19	943	1501	0	0	0	1501	0	0	0	0	0	0	0
38	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Akkaraipattu West		Akkaraipattu 06	AP/20	1995	2932	0	0	1	2930	2	0	0	0	0	1	2
39	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Nooraniya		Akkaraipattu 10	AP/15/1	806	1109	0	2	0	1104	2	0	0	0	0	2	2
40	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Akkaraipattu East		Akkaraipattu 11	AP/15/2	805	1312	1	0	0	1281	0	0	0	0	0	0	0
41	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Akkaraipattu East		Akkaraipattu 12	AP/15/3	988	1411	2	0	1	1408	0	0	0	0	0	1	0
42	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Kadiriya - South		Akkaraipattu 13	AP/15/4	1771	2641	6	0	3	2636	0	0	0	0	0	3	0
43	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Kadiriya - North		Akkaraipattu 14	AP/15/5	1450	2347	0	0	0	2347	0	0	0	0	0	0	0
44	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Technical College		Akkaraipattu 15	AP/16A	612	838	0	0	0	848	0	0	0	0	0	0	0
45	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Technical College		Akkaraipattu 16	AP/17A	572	796	6	0	1	788	1	0	0	0	0	1	1
46	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Town Mosque		Akkaraipattu 17	AP/18A	803	1020	4	0	0	1022	0	0	0	0	0	0	0
47	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Grand Mosque		Akkaraipattu 18	AP/19A	824	1068	0	0	1	1061	0	0	0	0	0	1	0
48	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Grand Mosque		Akkaraipattu 19	AP/18/19/2	855	1026	8	0	1	1028	0	0	0	0	0	1	0
49	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Falah		Akkaraipattu 20	AP/20/1	933	1343	0	0	0	1337	0	0	0	0	0	0	0
50	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu MC	Falah		Akkaraipattu 21	AP/20/2	898	1248	0	0	1	1254	0	0	0	0	0	1	0
51	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu PS	Alim Nagar		Alim Nagar	AP/20A/4	700	938	34	7	2	908	1	0	0	0	0	9	1
52	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu PS	Iasankamchcheemai		Easankanichcheemai	AP/20A/3	375	544	0	2	0	541	0	0	0	0	0	2	0
