Index	PROVINCE_N	DISTRICT_N	Polling_D	DSD_N	Local_Gov	Ward	Type_Ward	GND_N	GND_NO	Votes	TOT_POP	E_Sinhales	E_SLTamil	E_IndTamil	E_SLMoor	E_Burgher	E_Malay	E_SLChetty	E_Bharatha	E_Other	E_AllTamil	E_AllOther
53	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu PS	Paddyadippiddy		Paddyadippiddy	AP/20A	1290	1831	1	0	1	1827	1	0	0	0	0	1	1
54	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu PS	Pallikudiyiruppu - South		pallikudiyiruppu 01	AP/20A/1	1136	1705	0	0	0	1706	0	0	0	0	0	0	0
55	Eastern	Ampara	Samantura	Akkaraipattu	Akkaraipattu PS	Pallikudiyiruppu - North		Pallikudiyiruppu 02	AP/20A2	1176	1716	52	0	2	1646	0	0	0	0	0	2	0
56	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Akkaraipattu Town		Town Division 01	AP/15A	799	1097	0	0	1	1097	0	0	0	0	0	1	0
57	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Nooraniya		Town Division 02	AP/15A/1	875	1207	3	0	3	1198	0	0	0	0	1	3	1
58	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Nooraniya		Town Division 03	AP/15A/2	935	1598	0	0	0	1597	0	0	0	0	0	0	0
59	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Akkaraipattu Town		Town Division 04	AP/15A/3	831	1323	0	0	1	1239	0	0	0	0	0	1	0
60	Eastern	Ampara	Potuvil	Akkaraipattu	Akkaraipattu MC	Badur		Town Division 05	AP/15A/4	1512	2356	48	18	6	2281	5	0	0	0	0	24	5
61	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kannahi Kiramam		Akkaraipattu 7	AP/21	549	739	6	724	3	0	6	0	0	0	0	727	6
62	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu B		Akkaraipattu 7/1	AV/05	401	486	17	468	2	0	0	0	0	0	0	470	0
63	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu A		Akkaraipattu 7/2	AV/06	424	601	0	604	0	0	0	0	0	0	0	604	0
64	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu D		Akkaraipattu 7/3	AV/07	456	545	8	531	2	0	6	0	0	0	0	533	6
65	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu D		Akkaraipattu 7/4	AV/08	1025	1347	3	1345	2	0	0	0	0	0	0	1347	0
66	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu C		Akkaraipattu 8	AP/22	822	1183	11	1166	1	0	2	0	0	0	0	1167	2
67	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu B		Akkaraipattu 8/1	AV/10	355	528	16	483	5	7	20	0	0	0	0	488	20
68	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu B		Akkaraipattu 8/2	AV/11	476	550	36	508	0	3	4	0	0	0	0	508	4
69	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu C		Akkaraipattu 8/3	AV/12	545	660	25	597	8	0	31	0	0	0	0	605	31
70	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu C		Akkaraipattu 9	AP/22A	533	591	23	541	0	7	17	0	0	0	5	541	22
71	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Alayadiwembu		Alayadivembu	AV21A	1822	2467	16	2356	7	0	83	0	0	0	0	2363	83
72	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kannahi Kiramam		Aligambai	AV/22	643	943	3	944	4	0	0	0	0	0	0	948	0
73	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kannahi Kiramam		Kannahikiramam 01	AV/20	485	612	0	610	2	0	0	0	0	0	0	612	0
74	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu B		Kannahikiramam 02	AV/21	530	721	0	719	2	0	0	0	0	0	0	721	0
75	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kolavil A		Kolavil 01	AV/16	1123	1517	9	1516	5	0	1	0	0	0	0	1521	1
76	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kolavil B		Kolavil 02	AV/17	1260	1670	4	1649	9	0	9	0	0	0	4	1658	13
77	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kolavil C		Kolavil 03	AP/23	1090	1528	8	1517	7	0	0	0	0	0	0	1524	0
78	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kolavil C/ Kolavil B	Multiple	Navatkadu	AV/03	1315	1745	7	1718	5	0	15	0	0	0	0	1723	15
79	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Panagkadu		Panankadu	AP/13	1156	1536	12	1525	0	0	1	0	0	0	0	1525	1
80	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Panagkadu		Sinna Panankadu	AV/19	705	989	4	975	1	2	10	0	0	0	0	976	10
81	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Kolavil A		Sinnamugathuwaram	AV/14	158	184	0	183	1	0	0	0	0	0	0	184	0
82	Eastern	Ampara	Potuvil	Alayadiwembu	Alayadiwembu PS	Akkaraipattu A		Vachchikuda	AV01	970	1269	31	1234	1	5	1	0	0	0	0	1235	1
83	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Ambagahawella		Ambagahawella	W/86B	1111	1584	1599	0	0	0	0	0	0	0	0	0	0
84	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Ambagahawella		Ambamalthalawa	W/86H	1172	1566	1559	0	0	0	0	0	0	0	0	0	0
85	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Dambethalawa		Dambethalawa	W/86C	2085	3004	3012	1	0	0	0	0	0	0	0	1	0
86	Eastern	Ampara	Ampara	Ampara	Ampara UC	Gemunupura		Gemunupura	W/89G	1049	1428	1363	9	0	11	8	36	0	0	1	9	45
87	Eastern	Ampara	Ampara	Ampara	Ampara UC	Indrasarapura		Indrasarapura	W/89E	865	1371	1359	10	2	2	6	0	0	0	0	12	6
88	Eastern	Ampara	Ampara	Ampara	Ampara UC	Jayawardenapura		Jayawardhanapura	W/89A	1990	3141	3040	26	0	34	17	36	0	0	0	26	53
89	Eastern	Ampara	Ampara	Ampara	Ampara UC	Rajawewa/ Karangawa	Multiple	Karangawa	W/89J	2104	2924	2909	16	3	5	0	0	0	0	0	19	0
90	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Kotawehara		Kotavehera	W/89K	925	1264	1267	0	0	0	1	0	0	0	0	0	1
91	Eastern	Ampara	Ampara	Ampara	Ampara UC	Mihidupura/ Galamaduwa	Multiple	Mihindupura	W/89H	1411	2128	2081	30	0	16	0	6	0	0	0	30	6
92	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Coconut Cultivation Colony		Namaloya ( i )	W/86A	1017	1382	1383	0	0	0	0	0	0	0	0	0	0
93	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Namal Oya		Namaloya (ii)	W/86G	1056	1415	1415	0	0	1	0	0	0	0	0	0	0
94	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Namal Oya		Namalthalawa	W/86I	1100	1497	1500	0	0	0	0	0	0	0	0	0	0
95	Eastern	Ampara	Ampara	Ampara	Ampara UC	Navagampura/ Mihidupura	Multiple	"Nawagampura
Nawagamp"	W/89I	2557	3731	3675	25	0	11	2	43	0	0	0	25	45
96	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Paragahakele		Paragahakele East	W/86J	1010	1413	1417	1	0	1	0	0	0	0	0	1	0
97	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Paragahakele		Paragahakele West	W/86	1120	1486	1487	0	0	1	0	0	0	0	1	0	1
98	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Coconut Cultivation Colony		Polwaga Janapadaya	W/86F	1526	1990	1992	1	0	0	1	0	0	0	0	1	1
99	Eastern	Ampara	Ampara	Ampara	Ampara UC	Saddatissapura		Saddhathissapura	W/89F	1227	2237	2189	14	2	20	1	3	0	0	3	16	7
100	Eastern	Ampara	Ampara	Ampara	Ampara UC	Samapura/ Kotawehara	Multiple	Samapura	W/89B	1000	1655	1619	15	0	11	5	1	0	0	0	15	6
101	Eastern	Ampara	Ampara	Ampara	Ampara UC	Senanayakepura/ Galamaduwa	Multiple	Senanayakepura	W/89D	2450	3309	3274	26	0	22	3	2	0	0	0	26	5
102	Eastern	Ampara	Ampara	Ampara	Ampara UC	Tissapura		Thissapura	W/89C	1530	2145	2082	7	0	0	2	49	0	0	1	7	52
103	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Wavinna		Wavinna North	W/86D	849	1215	1217	0	0	0	0	0	0	0	1	0	1
104	Eastern	Ampara	Ampara	Ampara	Namaloya PS	Wavinna		Wavinna South	W/86E	1363	1835	1838	0	0	0	0	0	0	0	0	0	0
105	Eastern	Ampara	Potuvil	Damana	Damana PS	Thottama		18A Janapadaya	W/25E	778	1036	949	0	2	87	0	0	0	0	0	2	0
106	Eastern	Ampara	Ampara	Damana	Damana PS	Damana		Alahena	W/27C	622	977	973	7	0	0	0	0	0	0	0	7	0
107	Eastern	Ampara	Potuvil	Damana	Damana PS	Madawalalanda		Ambalanoya	W/24D	953	1268	1231	7	0	39	0	0	0	0	0	7	0
108	Eastern	Ampara	Potuvil	Damana	Damana PS	Pannalgama		Bakmitiyawa	W/25B	431	659	661	0	0	0	0	0	0	0	0	0	0
109	Eastern	Ampara	Ampara	Damana	Damana PS	Damana		Damana	W/27	722	1098	1094	3	0	0	2	0	0	0	0	3	2
110	Eastern	Ampara	Potuvil	Damana	Damana PS	Kethsirigama		Dewalahida	W/26E	1028	1439	1445	0	0	0	0	0	0	0	1	0	1
111	Eastern	Ampara	Ampara	Damana	Damana PS	Uksiripura		Diviyagala	W/27D	981	1369	1375	0	1	0	0	0	0	0	0	1	0
112	Eastern	Ampara	Potuvil	Damana	Damana PS	Damana		Ekgaloya	W/24B	703	898	899	0	0	0	0	0	0	0	0	0	0
113	Eastern	Ampara	Potuvil	Damana	Damana PS	Kethsirigama		Galkanda	W/26D	676	962	963	1	0	0	0	0	0	0	0	1	0
114	Eastern	Ampara	Ampara	Damana	Namaloya PS	Galamaduwa		Galmaduwa	W/27H	1057	1378	1383	0	0	0	0	0	0	0	0	0	0
115	Eastern	Ampara	Ampara	Damana	Damana PS	Hingurana		Helagampura	W/27G	357	514	518	0	0	0	0	0	0	0	0	0	0
116	Eastern	Ampara	Ampara	Damana	Damana PS	Pahalalanda		Hindakalugama	W/28D	519	688	683	3	0	0	0	0	0	0	0	3	0
117	Eastern	Ampara	Ampara	Damana	Damana PS	Hingurana		Hingurana	W/27A	574	714	719	0	0	0	0	0	0	0	0	0	0
118	Eastern	Ampara	Ampara	Damana	Damana PS	Pahalalanda		Kalugolla	W/28E	592	765	774	0	0	0	0	0	0	0	0	0	0
119	Eastern	Ampara	Ampara	Damana	Damana PS	Hingurana		Karalewa	W/27F	1841	2454	2490	4	5	0	3	0	0	0	0	9	3
120	Eastern	Ampara	Ampara	Damana	Damana PS	Uksiripura		Keenawatta	W/27E	690	840	843	1	0	0	0	0	0	0	0	1	0
121	Eastern	Ampara	Potuvil	Damana	Damana PS	Kethsirigama		Kethsirigama	W/26A	873	1112	1116	0	0	0	0	0	0	0	0	0	0
122	Eastern	Ampara	Potuvil	Damana	Damana PS	Vadinagala		Kivulegama	W/26C	238	318	316	1	0	0	0	0	0	0	0	1	0
123	Eastern	Ampara	Ampara	Damana	Damana PS	Padagoda		Koknahara	W/28B	1427	1863	1869	0	0	0	0	0	0	0	0	0	0
124	Eastern	Ampara	Potuvil	Damana	Damana PS	Pannalgama		Kumana	W/25D	656	991	1004	0	0	0	0	0	0	0	0	0	0
125	Eastern	Ampara	Potuvil	Damana	Damana PS	Damana		Madana	W/24	861	1147	1155	1	0	0	0	0	0	0	0	1	0
126	Eastern	Ampara	Potuvil	Damana	Damana PS	Madawalalanda		Madawalalanda	W/24A	766	1111	1108	2	0	1	0	0	2	0	1	2	3
127	Eastern	Ampara	Ampara	Damana	Damana PS	Padagoda		Moragahapallama	W/28C	877	1208	1203	0	0	0	0	0	0	0	0	0	0
128	Eastern	Ampara	Ampara	Damana	Namaloya PS	Muwangala		Muwangala	W/27B	1568	1981	1982	0	0	8	7	0	0	0	0	0	7
129	Eastern	Ampara	Ampara	Damana	Damana PS	Padagoda		Padagoda	W/28	921	1204	1211	0	0	0	0	0	0	0	0	0	0
130	Eastern	Ampara	Ampara	Damana	Damana PS	Pahalalanda		Pahalalanda	W/28A	878	1186	1201	0	0	0	0	0	0	0	0	0	0
131	Eastern	Ampara	Potuvil	Damana	Damana PS	Vadinagala		Pallanoya	W/26B	466	587	591	0	0	0	0	0	0	0	0	0	0
132	Eastern	Ampara	Potuvil	Damana	Damana PS	Pannalgama		Pannalgama	W/25A	969	1316	1324	0	0	0	0	0	0	0	0	0	0
133	Eastern	Ampara	Potuvil	Damana	Damana PS	Madawalalanda		Thimbirigolla	W/24C	992	1310	1308	1	0	0	0	0	0	0	0	1	0
134	Eastern	Ampara	Potuvil	Damana	Damana PS	Thottama		Thottama	W/25	1205	1600	1599	2	0	0	0	0	0	0	0	2	0
135	Eastern	Ampara	Ampara	Damana	Damana PS	Uksiripura		Uksiripura	W/27I	1521	1945	1957	2	0	0	0	0	0	0	0	2	0
136	Eastern	Ampara	Potuvil	Damana	Damana PS	Thottama		Veheragala	W/25C	413	533	534	0	0	0	0	0	0	0	0	0	0
137	Eastern	Ampara	Potuvil	Damana	Damana PS	Vadinagala		Wadinagala	W/26	1460	2018	2019	1	0	0	0	0	0	0	0	1	0
138	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Namalgama/ Ranhelagama/ Bakmeedeniya	Multiple	Bakmeedeniya	142K	3389	4330	4364	2	0	3	0	0	0	0	0	2	0
139	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Dehiaththakandiya/ Nagaswewa	Multiple	Dehiattakandiya	142J	5455	7815	7825	15	1	6	0	0	0	0	0	16	0
140	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Kudagama/ Nawamedagama	Multiple	Ihalagama	142D	2197	2836	2741	9	2	94	0	1	0	0	0	11	1
141	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Kadirapura/ Mawanawela/ Kudagala/ Sooriyapokuna	Multiple	Kadirapura	142N	8021	10788	10851	6	1	0	0	0	0	0	2	7	2
142	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Vijayapura/ Lihiniyagama	Multiple	Lihiniyagama	142H	2762	3749	3739	1	0	0	0	0	0	0	0	1	0
143	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Mawanagama		Mawanagama	142I	4173	3995	4017	0	1	1	0	0	0	0	0	1	0
144	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Nawamedagama/ Wewgama	Multiple	Nawa medagama	142B	1961	2820	2832	2	0	286	0	0	0	0	1	2	1
145	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Wewgama/ Hennanigala	Multiple	Paranagama	142C	3439	4398	3965	3	0	0	0	0	1	0	471	3	472
146	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Rathmalkandura/ Namalgama/ Bakmeedeniya	Multiple	Rideela	142L	2820	4022	4001	3	4	0	0	0	0	0	0	7	0
147	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Sandamadulla/ Uththalapura	Multiple	Sadamadulla	142F	2649	3414	3408	18	0	0	0	0	0	0	0	18	0
148	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Sandunpura/ Hennanigala	Multiple	Sandunpura	142E	2137	4520	4545	2	0	1	0	1	0	0	0	2	1
149	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Salpitigama/ Lihiniyagama/ Sandamadulla	Multiple	Serupitiya	142G	3314	4371	4369	2	0	4	0	1	0	0	0	2	1
150	Eastern	Ampara	Ampara	Dehiattakandiya	Dehiattakandiya PS	Wewmedagama		Wewmedagama	142A	1947	2570	2574	2	0	0	0	0	0	0	0	2	0
151	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam East		Irakkamam 01	IR84B	644	923	12	0	0	915	0	0	0	0	0	0	0
152	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam South		Irakkamam 02	IR84G	839	1213	312	24	6	871	0	0	0	0	0	30	0
153	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam West		Irakkamam 03	IR84A	1262	1955	6	0	2	1948	0	0	0	0	0	2	0
154	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam East		Irakkamam 04	IR84E	775	1287	0	0	1	1280	0	0	0	0	0	1	0
155	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam South		Irakkamam 05	IR84F	904	1415	413	0	1	1002	0	0	0	0	0	1	0
156	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam North		Irakkamam 06	IR84	528	776	1	0	0	775	0	0	0	0	0	0	0
157	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam North		Irakkamam 07	IR84C	646	978	33	318	2	626	0	0	0	0	0	320	0
158	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam Central		Irakkamam 08	IR84D	683	967	4	0	0	962	0	0	0	0	0	0	0
159	Eastern	Ampara	Samantura	Irakkamam	Irakkamam PS	Irrakkamam Central		Irakkamam 09	IR84H	342	534	0	0	1	533	0	0	0	0	0	1	0
